Company,Sector,Year,Revenue (Cr),Net Profit (Cr),EBITDA Margin (%),Debt/Equity,EPS,P/E Ratio,Market Cap (Cr)
SBI,Metals,2012,1501.77,150.5,17.13,0.83,36.41,8.94,22949.86
HDFC,IT,2020,1538.7,95.19,23.72,0.13,25.71,12.89,35776.3
Reliance,Metals,2018,869.85,190.89,20.64,0.9,21.45,27.2,21759.52
ICICI,Finance,2021,1695.86,131.22,18.2,0.59,48.21,29.94,52526.04
SBI,Automobile,2015,1413.0,135.88,20.24,-0.08,18.29,18.95,36764.07
Mahindra,Energy,2012,2079.89,86.66,20.61,1.13,19.4,35.96,51279.44
Wipro,Automobile,2014,1142.51,219.97,19.85,0.41,21.12,29.16,16371.45
SBI,Finance,2017,1239.81,169.84,15.12,1.08,30.51,15.13,19524.89
Reliance,Finance,2023,1439.13,242.81,13.22,0.51,20.33,17.35,62689.01
ICICI,IT,2017,1623.97,236.57,16.88,0.66,33.17,10.3,10710.6
HDFC,Metals,2015,914.77,218.36,14.03,0.11,24.48,16.9,46311.65
Reliance,Metals,2014,1251.27,412.76,21.11,0.93,21.81,21.67,32402.4
Reliance,Automobile,2014,1677.4,265.9,25.64,0.63,19.38,20.28,24904.33
Wipro,Energy,2010,1215.56,99.15,20.82,0.69,24.75,20.22,41948.39
Axis Bank,Energy,2011,1911.01,236.7,8.95,0.77,29.47,26.98,49523.32
ICICI,IT,2021,1363.83,195.68,14.83,0.31,24.65,21.17,30861.97
TCS,Finance,2020,1230.19,92.68,,1.01,27.33,24.8,33405.79
Reliance,IT,2013,1683.07,86.27,10.83,0.63,17.25,23.13,32006.38
Axis Bank,Metals,2015,1982.29,236.26,18.16,1.49,17.84,22.01,29109.65
TCS,Finance,2020,1624.92,255.8,20.35,0.66,24.95,26.45,9999.67
ICICI,IT,2016,1878.13,116.3,25.04,0.68,26.2,25.61,19557.6
Infosys,Automobile,2010,2002.99,277.61,27.09,0.39,25.48,12.12,44929.97
Mahindra,Metals,2017,1223.44,222.79,12.04,0.32,19.1,32.73,23719.03
Axis Bank,Energy,2021,1781.52,295.67,17.42,1.06,25.73,20.84,17623.3
Tata Steel,IT,2010,1042.96,287.17,17.48,1.12,25.25,13.35,25738.71
Infosys,Metals,2018,1627.47,187.33,14.43,0.63,23.79,19.55,27035.7
Mahindra,Metals,2013,1478.6,330.85,18.49,0.84,18.48,21.83,12828.11
Wipro,Energy,2021,1872.89,110.07,17.6,1.17,30.19,24.11,28026.02
