Firm,Year,Revenue_Cr,RD_Spend_Cr,Employees,Profit_Cr
Tata,2015,25795.0,1360.0,46624,6355.856745805039
Tata,2016,27035.935025120834,1388.1679378395384,49602,6661.621632431129
Tata,2017,30175.623067730285,1464.4045493965853,47843,7435.236961965639
Tata,2018,29997.364271750783,1479.2147805931113,49643,7391.314210621371
Tata,2019,29989.199169188116,1499.711555244986,48482,7389.302339243076
Tata,2020,37769.47206336362,1697.9492079545378,48458,9306.352153495818
Tata,2021,28289.112024918286,1571.4412120332686,47240,6970.4029267847
Tata,2022,33799.338894374996,1659.3201779096871,48905,8328.116151020118
Tata,2023,34212.85297585762,1456.477186012113,48892,8430.005519668177
Infosys,2015,13005.0,1062.0,13789,2638.0237743138036
Infosys,2016,13518.665546421085,1114.1736309018347,11196,2742.2192317151657
Infosys,2017,14012.022149502767,1147.498460056182,12511,2842.295083168005
Infosys,2018,14419.647890841208,1134.3648719320595,12902,2924.98069613787
Infosys,2019,15791.4090853754,1146.9435456900017,9933,3203.238185093064
Infosys,2020,16238.490860980808,1254.5949027742918,13842,3293.9273318142864
Infosys,2021,16556.855536789895,1384.9263176788836,12512,3358.506615450279
Infosys,2022,15294.52563517989,1323.701115339868,10601,3102.4469236798523
Infosys,2023,18704.18759046323,1476.0328944275816,10100,3794.086239359263
HDFC,2015,10995.0,769.0,43373,3126.7014428158336
HDFC,2016,11602.690580246624,804.6952198821482,41397,3299.513358599618
HDFC,2017,11508.080978686521,801.941932929237,40985,3272.6087676307957
HDFC,2018,12047.438068851625,814.9204996163847,44490,3425.9883576273555
HDFC,2019,12688.434222781496,886.2599823936185,42101,3608.271540831715
HDFC,2020,15321.272387297415,921.2012584721355,40984,4356.984491053862
HDFC,2021,14388.922948755891,885.3777081919125,42694,4091.8477621137704
HDFC,2022,13714.154036309004,938.5983279876285,41108,3899.960455873211
HDFC,2023,13699.727078148006,887.2336939585141,42752,3895.8577918534347
Reliance,2015,29115.0,1225.0,35228,6179.620468711163
Reliance,2016,30781.19066108755,1280.590947939208,35352,6533.267245768762
Reliance,2017,31351.802003947334,1308.0166158644129,35477,6654.378753033578
Reliance,2018,31044.975291345272,1379.6480809697332,32633,6589.255186708898
Reliance,2019,33327.44788069047,1401.5882698623495,34816,7073.706992732932
Reliance,2020,42691.99552314458,1384.740278284894,33597,9061.319917051334
Reliance,2021,39626.14744177831,1515.2981252911761,35852,8410.597692851785
Reliance,2022,43786.569967273615,1629.2583732071457,35231,9293.641903637903
Reliance,2023,34207.02490633662,1524.4244398347241,33901,7260.396059931662
Wipro,2015,26157.0,1854.0,29343,6839.742427725276
Wipro,2016,27909.477778693174,1885.3080488545745,28727,7297.994391504511
Wipro,2017,29164.32591349108,1976.8915623603446,29477,7626.122159518013
Wipro,2018,30500.296675361533,1953.0803314744855,26364,7975.462523556924
Wipro,2019,30846.670713234984,2063.3611318060744,26730,8066.035188721337
Wipro,2020,31319.07977978995,2096.22042241681,29790,8189.564505376845
Wipro,2021,43321.10477215253,2236.38171328514,27183,11327.950389036343
Wipro,2022,36729.6099533297,2275.947161300543,27338,9604.353387299376
Wipro,2023,38536.693513338665,2060.1265734798258,29231,10076.884109317885
